# Export vaddrs, resolved to names.
#
# known_by = "measured"
# source = "12.40 libkernel_sys.sprx"
#
# Format: <name> <vaddr_hex>. Lines starting with '#' and blank lines are ignored.
#   vaddr  the export's offset within the module, measured from the file. A loader
#          reaches the function by adding it to the module's load base.
#   name   resolved from obscene's mined corpus (data/mined-names.txt) by the NID the
#          export table stores. 1644 of 1867 resolved; the rest keep their
#          encoded NID (hash#lib#mod), the honest statement that the name is not yet
#          known.
#
# Regenerate: obscene-tool vaddrs <module> --source "12.40 libkernel_sys.sprx"
#
__Ux86_64_setcontext 0x334
__elf_phdr_match_addr 0xffb0
__Error 0x3b10
hmqw8GlN+tI#I#A 0x3b00
__freeze 0x16d70
__freeze 0x16d70
__inet_ntop 0x128a0
__inet_pton 0x12e00
__pthread_cleanup_pop_imp 0x5d60
__pthread_cleanup_push_imp 0x5d30
__pthread_cxa_finalize 0x8a50
__sceKernelGetGPI 0x28cd0
__stack_chk_fail 0xfe30
__sys_debug_init 0x26b0
__sys_dl_get_info 0x23d0
__sys_dl_get_info_2 0x3810
__sys_dl_get_list 0x23b0
__sys_dl_get_metadata 0x2ad0
__sys_dynlib_get_info_for_libdbg 0x3110
__sys_dynlib_get_list_for_libdbg 0x3310
__sys_dynlib_get_info2 0x3190
__sys_dynlib_get_list2 0x3170
__sys_dynlib_load_prx 0x2990
GQli4UAXTfQ#I#A 0x29b0
__sys_get_proc_type_info 0x2bd0
__sys_is_development_mode 0x2b10
__sys_kqueueex 0xfd0
__sys_namedobj_create 0x2650
__sys_namedobj_delete 0x2670
__sys_netabort 0xc50
__sys_netcontrol 0xc10
__sys_netgetiflist 0xe30
__sys_netgetsockinfo 0xc70
__sys_opmc_disable 0x2730
__sys_opmc_enable 0x2710
__sys_opmc_get_ctr 0x2790
__sys_opmc_get_hw 0x2d90
__sys_opmc_set_ctl 0x2750
__sys_opmc_set_ctr 0x2770
__sys_opmc_set_hw 0x2d70
__sys_osem_close 0x25b0
__sys_osem_open 0x2590
__sys_randomized_path 0x2a90
__sys_rdup 0x2ab0
__sys_regmgr_call 0x2350
8YkbXeSRxnM#I#A 0x39f0
__sys_set_uevt 0x2f50
__sys_socketclose 0xd10
__sys_socketex 0xcf0
__sys_test_debug_rwmem 0x2cb0
__sys_workaround8849 0x2af0
__tls_get_addr 0x3b960
_accept 0x6d0
_bind 0xc90
_close 0x490
_connect 0xbf0
_dup2 0xb30
_execve 0x950
_execvpe 0x10700
_exit 0x3f0
_fcntl 0xb50
_fpathconf 0x10f0
_fstat 0x1090
_fstatfs 0x1ab0
_getdirentries 0x1150
_getpeername 0x6f0
_getsockname 0x710
_getsockopt 0xd70
_ioctl 0x8d0
_is_signal_return 0x289c0
_listen 0xcd0
_nanosleep 0x1310
_open 0x470
_openat 0x2230
_read 0x430
_readv 0xd90
_recvfrom 0x6b0
_recvmsg 0x670
_sceKernelRtldSetApplicationHeapAPI 0x3ab80
_sceKernelRtldThreadAtexitDecrement 0x2a340
_sceKernelRtldThreadAtexitIncrement 0x2a2d0
_sceKernelSetThreadDtors 0x85a0
_sceKernelSetThreadAtexitCount 0x37530
_sceKernelSetThreadAtexitReport 0x37540
_sendmsg 0x690
_sendto 0xef0
_setsockopt 0xcb0
_sigaction 0xd100
_sigprocmask 0xcf70
_sigsuspend 0xd450
_umtx_op 0x1df0
_wait4 0x4b0
_write 0x450
_writev 0xdb0
accept 0xe8a0
accept 0xe8a0
access 0x730
access 0x730
adjtime 0xfb0
amd64_set_fsbase 0xfe70
bind 0xc90
bind 0xc90
blockpool_batch 0x3130
blockpool_map 0x30d0
blockpool_open 0x30b0
blockpool_unmap 0x30f0
cfsetspeed 0x125b0
chdir 0x510
chdir 0x510
chflags 0x750
chflags 0x750
chmod 0x570
chmod 0x570
clock_getres 0x1250
clock_getres 0x1250
clock_gettime 0x1210
clock_gettime 0x1210
clock_settime 0x1230
close 0xe950
close 0xe950
connect 0xea50
connect 0xea50
cpuset_getaffinity 0x20f0
cpuset_getid 0x20d0
cpuset_setaffinity 0x2110
creat 0xeaa0
creat 0xeaa0
dlclose 0x371f0
dlerror 0x37200
dlopen 0x371e0
dlsym 0x37210
dup 0x7f0
dup 0x7f0
dup2 0xb30
dup2 0xb30
dup2 0xb30
dynlib_get_obj_member 0x3030
