# PS5 Retail SPRX Manifest (Firmware 12.40)
# Measured on hardware via obSCEne probe & live filesystem survey
# tier	directory	filename	size_bytes
app	/system/common/lib	libSceAbstractLocal.sprx	185892
app	/system/common/lib	libSceAbstractStorage.sprx	116388
app	/system/common/lib	libSceAbstractTwitter.sprx	271716
app	/system/common/lib	libSceAbstractYoutube.sprx	195364
app	/system/common/lib	libSceAcm.sprx	104356
app	/system/common/lib	libSceAgc.sprx	366600
app	/system/common/lib	libSceAgcDriver.sprx	174688
app	/system/common/lib	libSceAgcVsh.sprx	315520
app	/system/common/lib	libSceAjm.native.sprx	190688
app	/system/common/lib	libSceAjm.sprx	71656
app	/system/common/lib	libSceAjmi.sprx	72728
app	/system/common/lib	libSceAmpr.sprx	91364
app	/system/common/lib	libSceAppContent.sprx	70688
app	/system/common/lib	libSceAppDbShellCoreClientForSystemService.sprx	347572
app	/system/common/lib	libSceAppInstUtil.sprx	143804
app	/system/common/lib	libSceAt9Enc.sprx	190244
app	/system/common/lib	libSceAudio3d.sprx	71524
app	/system/common/lib	libSceAudioIn.sprx	89576
app	/system/common/lib	libSceAudioOut.sprx	491908
app	/system/common/lib	libSceAudioPropagation.sprx	295192
app	/system/common/lib	libSceAudiodec.native.sprx	70448
app	/system/common/lib	libSceAudiodec.sprx	85480
app	/system/common/lib	libSceAudiodecCpu.sprx	69196
app	/system/common/lib	libSceAudiodecCpuDdp.sprx	380436
app	/system/common/lib	libSceAudiodecCpuDtsHdLbr.sprx	298784
app	/system/common/lib	libSceAudiodecCpuHevag.sprx	83784
app	/system/common/lib	libSceAudiodecCpuM4aac.sprx	405504
app	/system/common/lib	libSceAutoMounterClient.sprx	169784
app	/system/common/lib	libSceAvPlayer.native.sprx	2881440
app	/system/common/lib	libSceAvPlayer.sprx	378868
app	/system/common/lib	libSceAvPlayerStreaming.sprx	401520
app	/system/common/lib	libSceAvSetting.sprx	170816
app	/system/common/lib	libSceAvcap2.sprx	89208
app	/system/common/lib	libSceAvcap2mvr.sprx	94396
app	/system/common/lib	libSceBeisobmf.sprx	147312
app	/system/common/lib	libSceBemp2sys.sprx	193312
app	/system/common/lib	libSceBgft.sprx	88760
app	/system/common/lib	libSceBluetoothHid.sprx	71540
app	/system/common/lib	libSceCamera.sprx	251536
app	/system/common/lib	libSceCdlgAdIdClient.sprx	69984
app	/system/common/lib	libSceCdlgG2P.sprx	70120
app	/system/common/lib	libSceCdlgPlayerReview.sprx	69896
app	/system/common/lib	libSceCesCs.sprx	595964
app	/system/common/lib	libSceCffMgr.sprx	67912
app	/system/common/lib	libSceCloudMessaging.sprx	91908
app	/system/common/lib	libSceCommonDialog.sprx	72224
app	/system/common/lib	libSceCompanionHttpd.sprx	68708
app	/system/common/lib	libSceCompanionUtil.sprx	67204
app	/system/common/lib	libSceCompositeExt.sprx	126780
app	/system/common/lib	libSceConnectAccountDialog.sprx	70208
app	/system/common/lib	libSceContentDelete.sprx	171428
app	/system/common/lib	libSceContentExport.sprx	190100
app	/system/common/lib	libSceContentSearch.sprx	298208
app	/system/common/lib	libSceConvertKeycode.sprx	108708
app	/system/common/lib	libSceCustomMusicAudioOut.sprx	73520
app	/system/common/lib	libSceCustomMusicDummy.sprx	67452
app	/system/common/lib	libSceCustomMusicSysCallWrapper.sprx	87412
app	/system/common/lib	libSceDepth.sprx	2143788
app	/system/common/lib	libSceDepth2.sprx	867512
app	/system/common/lib	libSceDiscId.sprx	67400
app	/system/common/lib	libSceDiscMap.sprx	69096
app	/system/common/lib	libSceEditMp4.sprx	661612
app	/system/common/lib	libSceErrorDialog.sprx	68192
app	/system/common/lib	libSceEsvm.sprx	825848
app	/system/common/lib	libSceEsvmEngine.sprx	4019308
app	/system/common/lib	libSceFiber.sprx	69732
app	/system/common/lib	libSceFlexContent.sprx	68688
app	/system/common/lib	libSceFont.native.sprx	359988
app	/system/common/lib	libSceFont.sprx	344524
app	/system/common/lib	libSceFontFt.sprx	168744
app	/system/common/lib	libSceFontGs.native.sprx	305804
app	/system/common/lib	libSceFontGs.sprx	297956
app	/system/common/lib	libSceFreeTypeOl.sprx	602384
app	/system/common/lib	libSceFreeTypeOptOl.sprx	174320
app	/system/common/lib	libSceFreeTypeOt.sprx	501264
