# Known NID to name pairs.
#
# Harvested from the resolution logs of an open-source emulator, which prints the name it
# matched for every NID a module imports. Nothing here is secret or derived from anything
# that is: the names are already in this program's census, and the NIDs are computable
# from them with `obscene-tool nid`.
#
# It is kept because it is a *test set*. A candidate generator that cannot reproduce names
# already known is not ready to be believed about unknown ones, and this is what measures
# that:
#
#   obscene-tool crack --nids <targets> --words <candidates> --known data/nid-corpus.txt
#
# The header of that command's output reports how many of these it reproduced.
#
# It also verifies the hash chain against an independent implementation: every pair here
# was produced by somebody else's code and agrees with ours.
#
# Suffix: 518D64A635DED8C1E6B039B1C3E55230. Pairs made with a different one do not belong
# in this file and are not comparable.
#
+AFvOEXrKJk sceGnmSetEmbeddedVsShader
+BzXYkqYeLE scePthreadSetspecific
+L98PIbGttk scePthreadRwlockUnlock
+g+UP8Pyfmo sceKernelGetProcessType
+my9jdHCMIQ atol
+r3rMFwItV4 sceKernelPread
+xU0WKT8mDc isalpha
-Ozn0F1AFRg sceVideoOutDeleteFlipEvent
-P6FNMzk2Kc cosf
-VVn74ZyhEs difftime
-Wreprtu0Qs scePthreadAttrSetdetachstate
-ZR+hG7aDHw sceKernelSleep
-fA+7ZlGDQs scePthreadAttrGetstacksize
-kU6bB4M-+k strspn
1-LFLmRFxxM sceKernelMkdir
12wOHk8ywb0 sceKernelPollSema
14bOACANTBo scePthreadOnce
188x57JYp0g sceKernelCreateSema
1D0H2KNjshE powf
1FGvU0i9saQ scePthreadMutexattrSetprotocol
1FZBKy8HeNU sceVideoOutGetVblankStatus
1G3lF1Gg1k8 sceKernelOpen
1j3S3n-tTW4 sceKernelGetTscFrequency
1jfXLRVzisc sceKernelUsleep
1mecP7RgI2A gmtime
1qXLHIpROPE sceGnmInsertWaitFlipDone
1tKyG7RlMJo scePthreadGetprio
1xxcMiGu2fo sceUserServiceGetUserName
23CPPI1tyBY sceKernelGetEventFilter
28xmRUFao68 sceNpTrophyUnlockTrophy
29oKvKXzEZo sceGnmMapComputeQueue
2Of0f+3mhhE scePthreadMutexDestroy
2SKEx6bSq-4 sceKernelBatchMap
2Tb92quprl0 scePthreadCondInit
2WE3BTYVwKM cos
2X5agFjKxMc calloc
2gbcltk3swE div
2vDqwBlpF-o strtod
32HQAQdwM2o sceSaveDataMount
388LcMWHRCA fabs
39iV5E1HoCk sceSysmoduleLoadModuleInternal
3GPpjQdAMTw __cxa_guard_acquire
3PtV6p3QNX4 scePthreadEqual
3k6kx-zOOSQ sceKernelMlock
3kg7rT0NQIs scePthreadExit
3qxgM4ezETA scePthreadAttrSetaffinity
4+h9EzwKF4I scePthreadAttrSetschedpolicy
45ggEzakPJQ sceNetSocketClose
4DM06U2BNEY sceKernelCancelSema
4J2sUJmuHZQ sceKernelGetProcessTime
4R6-OvI2cEA sceKernelAddUserEvent
4czppHBiriw sceKernelSignalSema
